2021-04-30 23:38:15 configure hibagent:all 1.0.1-0ubuntu1 <none>
2021-04-30 23:38:15 status unpacked hibagent:all 1.0.1-0ubuntu1
2021-04-30 23:38:15 status half-configured hibagent:all 1.0.1-0ubuntu1
2021-04-30 23:38:15 status installed hibagent:all 1.0.1-0ubuntu1
2021-04-30 23:38:15 trigproc systemd:amd64 245.4-4ubuntu3.6 <none>
2021-04-30 23:38:15 status half-configured systemd:amd64 245.4-4ubuntu3.6
2021-04-30 23:38:15 status installed systemd:amd64 245.4-4ubuntu3.6
2021-04-30 23:38:22 startup archives unpack
2021-04-30 23:38:22 install acpid:amd64 <none> 1:2.0.32-1ubuntu1
2021-04-30 23:38:22 status half-installed acpid:amd64 1:2.0.32-1ubuntu1
2021-04-30 23:38:22 status triggers-pending systemd:amd64 245.4-4ubuntu3.6
2021-04-30 23:38:22 status triggers-pending man-db:amd64 2.9.1-1
2021-04-30 23:38:22 status unpacked acpid:amd64 1:2.0.32-1ubuntu1
2021-04-30 23:38:22 install ec2-hibinit-agent:all <none> 1.0.0-0ubuntu9.1
2021-04-30 23:38:22 status half-installed ec2-hibinit-agent:all 1.0.0-0ubuntu9.1
2021-04-30 23:38:22 status unpacked ec2-hibinit-agent:all 1.0.0-0ubuntu9.1
2021-04-30 23:38:22 startup packages configure
2021-04-30 23:38:22 configure acpid:amd64 1:2.0.32-1ubuntu1 <none>
2021-04-30 23:38:22 status unpacked acpid:amd64 1:2.0.32-1ubuntu1
2021-04-30 23:38:22 status half-configured acpid:amd64 1:2.0.32-1ubuntu1
2021-04-30 23:38:23 status installed acpid:amd64 1:2.0.32-1ubuntu1
2021-04-30 23:38:23 configure ec2-hibinit-agent:all 1.0.0-0ubuntu9.1 <none>
2021-04-30 23:38:23 status unpacked ec2-hibinit-agent:all 1.0.0-0ubuntu9.1
2021-04-30 23:38:24 status half-configured ec2-hibinit-agent:all 1.0.0-0ubuntu9.1
2021-04-30 23:38:24 status installed ec2-hibinit-agent:all 1.0.0-0ubuntu9.1
2021-04-30 23:38:24 trigproc man-db:amd64 2.9.1-1 <none>
2021-04-30 23:38:24 status half-configured man-db:amd64 2.9.1-1
2021-04-30 23:38:24 status installed man-db:amd64 2.9.1-1
2021-04-30 23:38:24 trigproc systemd:amd64 245.4-4ubuntu3.6 <none>
2021-04-30 23:38:24 status half-configured systemd:amd64 245.4-4ubuntu3.6
2021-04-30 23:38:24 status installed systemd:amd64 245.4-4ubuntu3.6
2021-04-30 23:38:30 startup archives unpack
2021-04-30 23:38:30 install ec2-instance-connect:all <none> 1.1.12+dfsg1-0ubuntu3.20.04.1
2021-04-30 23:38:30 status half-installed ec2-instance-connect:all 1.1.12+dfsg1-0ubuntu3.20.04.1
2021-04-30 23:38:30 status unpacked ec2-instance-connect:all 1.1.12+dfsg1-0ubuntu3.20.04.1
2021-04-30 23:38:30 startup packages configure
2021-04-30 23:38:30 configure ec2-instance-connect:all 1.1.12+dfsg1-0ubuntu3.20.04.1 <none>
2021-04-30 23:38:30 status unpacked ec2-instance-connect:all 1.1.12+dfsg1-0ubuntu3.20.04.1
2021-04-30 23:38:30 status half-configured ec2-instance-connect:all 1.1.12+dfsg1-0ubuntu3.20.04.1
2021-04-30 23:38:31 status installed ec2-instance-connect:all 1.1.12+dfsg1-0ubuntu3.20.04.1
